,value,count
0,"MOSCOW, RUSSIAN FEDERATION",4518
1,"LONDON, ENGLAND",885
2,"SAINT PETERSBURG, RUSSIAN FEDERATION",836
3,"BERLIN, GERMANY",250
4,"TBILISI, GEORGIA",233
5,"PHILADELPHIA, PA, USA",173
6,"BOSTON, MA, USA",169
7,"KIYEV, UKRAINE",166
8,"PARIS, FRANCE",161
9,"BEIJING, CHINA",142
10,"BRUSSELS, BELGIUM",136
11,"NEW YORK, NY, USA",136
12,"OTTAWA, ON, CANADA",133
13,"TORONTO, ON, CANADA",103
14,"SYDNEY, AUSTRALIA",99
15,"WARSAW, POLAND",96
16,"TEHRAN, IRAN, ISLAMIC REPUBLIC OF",96
17,"SALT LAKE CITY, UT, USA",85
18,"ATLANTA, GA, USA",76
19,"PRAGUE, CZECH REPUBLIC",65
20,"BELGRADE, SERBIA",64
21,"MINSK, BELARUS",63
22,"BAKU, AZERBAIJAN",61
23,"MONTREAL, QC, CANADA",55
24,"VANCOUVER, BC, CANADA",52
25,"TASHKENT, UZBEKISTAN",49
26,"SHANGHAI, CHINA",45
27,"TALLINN, ESTONIA",43
28,"TOKYO, JAPAN",43
29,"MELBOURNE, AUSTRALIA",36
30,"BAGHDAD, IRAQ",36
31,"BISHKEK, KYRGYZSTAN",35
32,"BUDAPEST, HUNGARY",35
33,"HELSINKI, FINLAND",35
34,"TAMPA, FL, USA",32
35,"VILNIUS, LITHUANIA",31
36,"RIGA, LATVIA",31
37,"KABUL, AFGHANISTAN",31
38,"MANCHESTER, ENGLAND",31
39,"VIENNA, AUSTRIA",30
40,"SEOUL, KOREA, REPUBLIC OF",29
41,"CALGARY, AB, CANADA",27
42,"ISTANBUL, TURKEY",27
43,"LOS ANGELES, CA, USA",26
44,"CHISINAU, MOLDOVA, REPUBLIC OF",26
45,"PRISTINA, KOSOVO",24
46,"PYONGYANG, KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",24
47,"MADRID, SPAIN",23
48,"ODESSA, UKRAINE",23
49,"EDINBURGH, SCOTLAND",23
50,"GLASGOW, SCOTLAND",22
51,"NEW DELHI, INDIA",22
52,"DUSHANBE, TAJIKISTAN",22
53,"BIRMINGHAM, ENGLAND",20
54,"DUBLIN, IRELAND",19
55,"ASTANA, KAZAKHSTAN",19
56,"TEL AVIV, ISRAEL",18
57,"LANCASTER, PA, USA",17
58,"PITTSBURGH, PA, USA",17
59,"JERUSALEM, ISRAEL",16
60,"ASHGABAT, TURKMENISTAN",16
61,"BARCELONA, SPAIN",16
62,"PORTLAND, ME, USA",16
63,"TURIN, ITALY",15
64,"SOFIA, BULGARIA",14
65,"CHICAGO, IL, USA",14
66,"DETROIT, MI, USA",14
67,"WINNIPEG, MB, CANADA",14
68,"HAVANA, CUBA",14
69,"YEREVAN, ARMENIA",14
70,"CANBERRA, AUSTRALIA",13
71,"BRATISLAVA, SLOVAKIA",13
72,"HOUSTON, TX, USA",13
73,ZURICH,13
74,"KANDAHAR, AFGHANISTAN",13
75,"SILICON VALLEY, CA, USA",11
76,"RICHMOND, VA, USA",11
77,"ISLAMABAD, PAKISTAN",11
78,"STOCKHOLM, SWEDEN",10
79,"MINNEAPOLIS, MN, USA",10
80,"AMSTERDAM, NETHERLANDS",10
81,"BUCHAREST, ROMANIA",10
82,"DAYTON, OH, USA",10
83,"CARACAS, VENEZUELA",10
84,"ROME, ITALY",9
85,"SAN FRANCISCO BAY AREA, CA, USA",9
86,"THE HAGUE, NETHERLANDS",9
87,"BLOOMINGTON, IL, USA",9
88,"DAMASCUS, SYRIA",9
89,"GENEVA, SWITZERLAND",8
90,"ANCHORAGE, AK, USA",8
91,"HALIFAX, NS, CANADA",8
92,"WELLINGTON, NEW ZEALAND",8
93,"NEWCASTLE UPON TYNE, ENGLAND",8
94,"ANKARA, TURKEY",8
95,"MAZAR-E SHARIF, AFGHANISTAN",8
96,"BRISBANE, AUSTRALIA",8
97,"MADISON, WI, USA",8
98,"BEIRUT, LEBANON",8
99,"CARDIFF, WALES",7
