,value,count
0,MICROSOFT CORP,216
1,GOOGLE INC,180
2,FACEBOOK INC,123
3,INTEL CORP,87
4,ACCENTURE PLC,66
5,AI SYSTEMS,62
6,GOOGLE LLC,59
7,BEST INC,57
8,DELOITTE LLP,55
9,SIEMENS AG,48
10,FUJITSU LTD,40
11,INFOSYS LTD,38
12,APPLE INC,38
13,GARTNER INC,36
14,HONEYWELL INTERNATIONAL INC,33
15,GEOPHARMA INC,27
16,NVIDIA CORP,26
17,ORACLE CORP,24
18,QUALCOMM INC,23
19,INTERNATIONAL BUSINESS MACHINES CORP,23
20,AUTODESK INC,21
21,GOLDMAN SACHS GROUP INC,20
22,SCHNEIDER ELECTRIC SA,19
23,CISCO SYSTEMS INC,19
24,GENERAL MOTORS CO,17
25,FUJITSU LABORATORIES LTD,17
26,TATA CONSULTANCY SERVICES LTD,16
27,VERIZON COMMUNICATIONS INC,15
28,KONINKLIJKE PHILIPS NV (ROYAL PHILIPS),15
29,GENERAL ELECTRIC CO,15
30,RAMCO SYSTEMS LTD,15
31,SAP SE,14
32,ROCKWELL AUTOMATION INC,14
33,ABB LTD,14
34,GETTY IMAGES INC,13
35,WALL STREET JOURNAL,13
36,FORD MOTOR CO,13
37,IDC RESEARCH INC,12
38,THOMSON REUTERS CORP,12
39,BOEING CO,11
40,LOCKHEED MARTIN CORP,11
41,ALPHABET INC,11
42,AMAZON.COM INC,11
43,BOSTON CONSULTING GROUP INC,11
44,INFORMATION SERVICES GROUP INC,11
45,L&T TECHNOLOGY SERVICES LTD,11
46,VIZIENT INC,11
47,CERNER CORP,11
48,ROBERT BOSCH GMBH,10
49,RIO TINTO GROUP,10
50,GUARDIAN LIFE OF THE CARIBBEAN,10
51,GUARDIAN ASSET MANAGEMENT CORP,10
52,WOLTERS KLUWER NV,10
53,JOHNSON CONTROLS INTERNATIONAL PLC,10
54,CANACCORD GENUITY INC,10
55,AXA,10
56,VMWARE INC,9
57,SYMANTEC CORP,9
58,TMX GROUP LTD,9
59,VIRTUSA CORP,9
60,NATIONAL COMMERCIAL BANK OF ALBANIA,9
61,NATIONAL COMMERCIAL BANK OF ST VINCENT,9
62,NATIONAL COMMERCIAL BANK OF GRENADA LTD,9
63,NATIONAL COMMERCIAL BANK OF ST LUCIA,9
64,NATIONAL COMMERCIAL BANK SAL,9
65,NATIONAL COMMERCIAL BANK OF TRINIDAD & TOBAGO LTD,9
66,MITSUBISHI ELECTRIC CORP,9
67,JPMORGAN CHASE & CO,9
68,HYATT HOTELS CORP,9
69,SHUTTERSTOCK INC,9
70,HEWLETT PACKARD ENTERPRISE CO,9
71,BAE SYSTEMS PLC,9
72,ARBOR PHARMACEUTICALS LLC,9
73,NETFLIX INC,8
74,TESLA AS,8
75,ERNST & YOUNG GLOBAL LTD,8
76,WIPRO LTD,8
77,HP INC,8
78,OMRON CORP,8
79,BANK OF AMERICA CORP,8
80,WALT DISNEY CO,8
81,AMERICAN INTERNATIONAL GROUP INC,8
82,MCKINSEY & CO INC,8
83,ROYAL DUTCH SHELL PLC,7
84,ARAMARK CORP,7
85,ARAMARK,7
86,AON HEWITT,7
87,PRODUCT DESIGN & DEVELOPMENT INC,7
88,SAMSUNG ELECTRONICS CO LTD,7
89,AL MUDON INTERNATIONAL REAL ESTATE CO KSCC,7
90,ASSOCIATED PRESS,7
91,SHAW INDUSTRIES GROUP INC,7
92,WESTMORELAND COAL CO,7
93,TRI-STATE GENERATION & TRANSMISSION ASSOCIATION INC,7
94,WHITING PETROLEUM CORP,7
95,WORKDAY INC,7
96,AUTOMOTIVE & INDUSTRIAL EQUIPMENT CO,7
97,REMARK MEDIA INC,7
98,JD.COM INC,7
99,GRAHAM HOLDINGS CO,7
