,value,count
0,UNITED STATES,1094
1,NORTH AMERICA,350
2,INDIA,308
3,UNITED KINGDOM,267
4,ASIA,248
5,CANADA,245
6,EUROPE,244
7,CHINA,191
8,MIDDLE EAST,163
9,AUSTRALIA,144
10,JAPAN,104
11,GERMANY,98
12,NORTHERN AFRICA,93
13,SINGAPORE,89
14,AFRICA,79
15,EUROPEAN UNION MEMBER STATES,70
16,UNITED ARAB EMIRATES,69
17,NEW ZEALAND,58
18,NETHERLANDS,52
19,SOUTH AFRICA,45
20,FRANCE,42
21,HONG KONG,40
22,AUSTRALIA & NEW ZEALAND,37
23,ENGLAND,34
24,SWITZERLAND,34
25,BRAZIL,33
26,LATIN AMERICA,29
27,ISRAEL,28
28,NIGERIA,28
29,IRELAND,25
30,"KOREA, REPUBLIC OF",25
31,SAUDI ARABIA,24
32,SPAIN,24
33,RUSSIAN FEDERATION,23
34,EASTERN ASIA,23
35,MEXICO,23
36,OCEANIA,23
37,TAIWAN,22
38,PHILIPPINES,22
39,SOUTH-EASTERN ASIA,22
40,BELGIUM,21
41,MALAYSIA,20
42,INDONESIA,20
43,CARIBBEAN ISLANDS,20
44,SCOTLAND,19
45,KENYA,19
46,ARGENTINA,17
47,ARUBA,16
48,BAHAMAS,15
49,CAYMAN ISLANDS,15
50,EGYPT,13
51,EASTERN EUROPE,13
52,UGANDA,13
53,SWEDEN,13
54,SOUTH AMERICA,12
55,SOUTHERN ASIA,11
56,ESTONIA,11
57,THAILAND,11
58,BAHRAIN,10
59,TRINIDAD & TOBAGO,10
60,NETHERLANDS ANTILLES,10
61,BARBADOS,10
62,BELIZE,10
63,CURACAO,10
64,"VIRGIN ISLANDS, US",10
65,BONAIRE,10
66,SAINT MARTIN,10
67,VIET NAM,10
68,GHANA,10
69,PAKISTAN,9
70,ITALY,9
71,FINLAND,9
72,CAMEROON,9
73,WESTERN EUROPE,9
74,RWANDA,8
75,SLOVAKIA,8
76,KUWAIT,7
77,JAMAICA,7
78,ALBANIA,7
79,GRENADA,7
80,SAINT LUCIA,7
81,WALES,7
82,SYRIA,6
83,"IRAN, ISLAMIC REPUBLIC OF",6
84,OMAN,6
85,KOSOVO,6
86,MOROCCO,5
87,QATAR,5
88,LUXEMBOURG,5
89,SOUTHERN AFRICA,5
90,GAMBIA,4
91,WESTERN ASIA,4
92,SOUTHERN EUROPE,4
93,AUSTRIA,4
94,GREECE,4
95,SRI LANKA,4
96,BANGLADESH,4
97,ICELAND,4
98,NORTHERN EUROPE,4
99,GUAM,4
