,value,count
0,VLADIMIR PUTIN,1794
1,DMITRY MEDVEDEV,466
2,GEORGE W BUSH,371
3,BARACK OBAMA,229
4,BILL CLINTON,169
5,MIKHEIL SAAKASHVILI,161
6,ABBY FINKENAUER,161
7,CONDOLEEZZA RICE,123
8,SERGEI IVANOV,114
9,BORIS BEREZOVSKY,107
10,SADDAM HUSSEIN,92
11,ROMAN ABRAMOVICH,87
12,TONY BLAIR,86
13,NICOLAS SARKOZY,60
14,ANGELA MERKEL,57
15,RONALD REAGAN,53
16,BORIS NEMTSOV,52
17,OSAMA BIN LADEN,52
18,VIKTOR YUSHCHENKO,49
19,OLEG DERIPASKA,43
20,JACQUES CHIRAC,41
21,ALEXANDER LUKASHENKO,39
22,MAHMOUD AHMADINEJAD,38
23,DICK CHENEY,35
24,HILLARY RODHAM CLINTON,35
25,JOE BIDEN,32
26,DAVID MILIBAND,31
27,ISLAM KARIMOV,31
28,ROBERT M GATES,30
29,JAAP DE HOOP SCHEFFER,30
30,GERHARD SCHRODER,29
31,JOHN MCCAIN,29
32,RICHARD NIXON,28
33,JOHN F KENNEDY,27
34,VLADIMIR POTANIN,27
35,JAVIER SOLANA,25
36,AL GORE,25
37,NURSULTAN NAZARBAYEV,24
38,GORDON BROWN,23
39,IGOR SECHIN,23
40,JANOS ADER,22
41,GEORGE SOROS,21
42,HUGO CHAVEZ,20
43,HU JINTAO,19
44,ALI KHAMENEI,19
45,YULIA TYMOSHENKO,18
46,MIKHAIL FRIDMAN,18
47,FIDEL CASTRO,18
48,ALISHER USMANOV,17
49,ABDULLAH GUL,17
50,DAVID CAMERON,16
51,JOSE MANUEL BARROSO,16
52,HASHEMI RAFSANJANI,16
53,VIKTOR YANUKOVYCH,15
54,STEPHEN HARPER,15
55,GEORGE H W BUSH,14
56,DAVID BECKHAM,13
57,BERNARD KOUCHNER,13
58,JEAN CHRETIEN,13
59,ANDERS FOGH RASMUSSEN,12
60,PETER MANDELSON,11
61,ROBERT DUDLEY,11
62,HAMAD KARZAI,11
63,VIKTOR KHRISTENKO,11
64,MARIA SHARAPOVA,11
65,VIKTOR VEKSELBERG,10
66,JIMMY CARTER,10
67,ALEXEI MORDASHOV,10
68,DICK LUGAR,10
69,FRANK-WALTER STEINMEIER,10
70,BENJAMIN NETANYAHU,10
71,SILVIO BERLUSCONI,9
72,PRINCE CHARLES,9
73,LAMAR ALEXANDER,9
74,VIKTOR ZUBKOV,9
75,JACK STRAW,9
76,TOM HANKS,8
77,TONY HAYWARD,8
78,MOHAMED ELBARADEI,8
79,VAGIT ALEKPEROV,8
80,BAN KI-MOON,8
81,WEN JIABAO,7
82,PRINCESS DIANA,7
83,VLADIMIR LISIN,7
84,"ELIZABETH II, QUEEN OF THE UNITED KINGDOM",7
85,LEONARD BLAVATNIK,6
86,KIM JONG IL,6
87,CHARLES A WILSON,6
88,TOM LANTOS,6
89,MANMOHAN SINGH,6
90,RICHARD BRANSON,6
91,PARIS HILTON,6
92,EMOMALI RAHMON,6
93,KEVIN RUDD,6
94,DOMINIQUE DE VILLEPIN,6
95,JOHN KERRY,6
96,PRINCE WILLIAM,6
97,SIMON KUKES,5
98,ROBERT ZOELLICK,5
99,MICK JAGGER,5
